Country,Age Of Consent
Afghanistan,Must be married
Albania,14
Algeria,16
American Samoa,16
Andorra,16
Angola,12
Antigua and Barbuda,16
Argentina,18
Armenia,16
Aruba,15
Australia,16
Austria,14
Azerbaijan,16
Bahamas,16
Bahrain,21
Bangladesh,14
Barbados,16
Belarus,16
Belgium,16
Belize,16
Benin,18
Bhutan,18
Bolivia,14
Bosnia and Heregovina,14
Botswana,16
Brazil,14
Brunei,16
Bulgaria,14
Burkina Faso,13
Burundi,18
Cambodia,15
Cameroon,16
Canada,16
Cape Verde,14
Caribbean Netherlands,16
Central African Verde,18
Chad,14
Chile,18
China,14
Colombia,14
Comoros,13
Cook Islands,16
Costa Rica,15
Croatia,15
Cuba,16
Cyprus,17
Czech Republic,15
Democratic Republic of the Congo,14
Denmark,15
Djibouti,18
Dominica,16
Dominican Republic,18
East Timor,14
Ecuador,14
Egypt,18
El Salvador,18
Equatorial Guinea,18
Eritrea,18
Estonia,14
Ethiopia,18
Federated States of Micronesia,14
Fiji,16
Finland,16
France,15
Gabon,18
Gambia,18
Georgia,16
Germany,14
Ghana,16
Greece,15
Grenada,16
Guam,16
Guatemala,18
Guinea,15
Guinea Bissau,16
Haiti,18
Honduras,15
Hungary,14
Iceland,15
India,18
Indonesia,16
Iran,Must be married
Iraq,18
Ireland,17
Israel,16
Italy,14
Ivory Coast,18
Jamaica,16
Japan,13
Jordan,16
Kazakhstan,16
Kenya,18
Kiribati,15
Kuwait,Must be married
Kyrgyzstan,16
Laos,15
Latvia,16
Lebanon,18
Lesotho,16
Liberia,18
Libya,Must be married
Liechtenstein,14
Lithuania,16
Luxembourg,16
Macedonia,14
Madagascar,14
Malawi,14
Malaysia,16
Maldives,Must be married
Mali,18
Malta,18
Marshall Islands,16
Mauritania,16
Mauritius,14
Mexico,17
Moldova,16
Monaco,15
Mongolia,16
Montenegro,14
Myanmar,14
Namibia,16
Nauru,17
Nepal,16
Netherlands,16
New Zealand,16
Nicaragua,18
Niger,13
Nigeria,11
Niue,19
North Korea,15
Northern Cyprus,16
Northern Mariana Islands,18
Norway,16
Oman,Must be married
Pakistan,Must be married
Palau,16
Palestine Gaza Strip,Must be married
Panama,18
Papua New Guinea,16
Paraguay,14
Peru,14
Philippines,12
Poland,15
Portugal,14
Qatar,Must be married
Republic of the Congo,18
Romania,15
Russia,16
Rwanda,18
Sahrawi Arab Democratic Republic,13
Saint Kitts and Nevis,16
Saint Lucia,16
Saint Vincent and the Grenadines,15
Samoa,16
San Marino,14
Sao Tome and Principe,14
Saudi Arabia,Must be married
Senegal,16
Serbia,14
Seychelles,18
Sierra Leone,18
Singapore,16
Slovak Republic,15
Slovenia,15
Solomon Islands,15
Somalia,18
South Africa,16
South Korea,20
South Sudan,18
Spain,16
Sri Lanka,16
Sudan,Must be married
Suriname,16
Swaziland,16
Sweden,15
Switzerland,16
Syria,15
Taiwan,16
Tajikistan,16
Tanzania,18
Thailand,15
Togo,16
Tonga,16
Trinidad and Tobago,16
Tunisia,18
Turkey,18
Turkmenistan,16
Uganda,18
Ukraine,16
United Arab Emirates,Must be married
United Kingdom,16
United States,16
Uruguay,15
Uzbekistan,16
Vanuatu,16
Vatican City,18
Venezuela,16
Vietnam,18
Yemen,Must be married
Zambia,16
Zimbabwe,16
